nombre,domicilio,localidad,departamento,provincia,cp,longitud,latitud
SAMCO HUMBERTO I,SAN MARTIN 844,HUMBERTO PRIMO,CASTELLANOS,SANTA FE,2309,-61.35861625,-30.86607544
ARMINCHIARDI,GRAL LOPEZ Y MITRE,SANTA ISABEL,GENERAL LÓPEZ,SANTA FE,2505,-61.693819,-33.887981
ROVAI,SAN LUIS 2101,ROSARIO,ROSARIO,SANTA FE,2000,-60.652946,-32.946526
GIACUMELLI,RIOJA 1101,ROLDAN,SAN LORENZO,SANTA FE,2134,-60.912412,-32.897318
FERRAN,DOMINGO FAUSTINO SARMIENTO 3098,ROSARIO,ROSARIO,SANTA FE,2000,-60.644892,-32.973194
PETRUZZI,Av PELLEGRINI 3770,ROSARIO,ROSARIO,SANTA FE,2000,-60.677472,-32.950667
RODRIGO,JUAN JOSE PASO 5880,ROSARIO,ROSARIO,SANTA FE,2000,-60.703994,-32.91998
AZAR,Av Pte PERON,ROSARIO,ROSARIO,SANTA FE,2000,-60.71336746,-32.96863543
ARCO IRIS,27 DE FEBRERO 5302,ROSARIO,ROSARIO,SANTA FE,2000,-60.695347,-32.958698
LUCARELLI,Juan Jose Paso 7800,ROSARIO,ROSARIO,SANTA FE,2000,-60.730022,-32.92079
COLLOMB,Cordoba 4313,ROSARIO,ROSARIO,SANTA FE,2000,-60.682064,-32.938512
HERNANDEZ - CASSINI,MENDOZA 4298,ROSARIO,ROSARIO,SANTA FE,2000,-60.682987,-32.943735
LASCURAIN,SAN JOSE 1519,FUNES,ROSARIO,SANTA FE,2132,-60.809737,-32.920646
R. HERNANDEZ,Avda PELLEGRINI 3456,ROSARIO,ROSARIO,SANTA FE,2000,-60.673181,-32.951424
DESMEDT,Nicaragua (B) 671,ROSARIO,ROSARIO,SANTA FE,2000,-60.72086,-32.935685
ZUCCO,J.J. PASO 2364,ROSARIO,ROSARIO,SANTA FE,2000,-60.69378,-32.91971
FRONTONS,JUAN JOSE PASO 6045,ROSARIO,ROSARIO,SANTA FE,2000,-60.706311,-32.920034
CIUCCI,Av. PROVINCIAS UNIDAS 3181,ROSARIO,ROSARIO,SANTA FE,2000,-60.711697,-32.965395
PONZIO,TUCUMAN 101,LAS ROSAS,BELGRANO,SANTA FE,2520,-61.578119,-32.476859
BIRCHER,Av GENOVA 2363,ROSARIO,ROSARIO,SANTA FE,2000,-60.69684505,-32.91547662
CALACE,Av GENOVA 3229,ROSARIO,ROSARIO,SANTA FE,2000,-60.696956,-32.915513
MUTUAL,SARMIENTO 1405,CARCARAÑA,SAN LORENZO,SANTA FE,2138,-61.04908,-32.714511
HERBAS,MENDOZA 4588,ROSARIO,ROSARIO,SANTA FE,2000,-60.687085,-32.943032
TUMINI,PELLEGRINI 738,ROLDAN,SAN LORENZO,SANTA FE,2134,-60.907606,-32.898921
BERTOLOTTI,INDEPENDENCIA 1911,FUNES,ROSARIO,SANTA FE,2132,-60.80932617,-32.91187392
PATALANO,SARMIENTO 498,CARRERAS,GENERAL LÓPEZ,SANTA FE,2729,-61.309648,-33.598535
LABORET,GARIBALDI 801,CARRERAS,GENERAL LÓPEZ,SANTA FE,2729,-61.309648,-33.598535
RENZ,CORDOBA 1392,FUNES,ROSARIO,SANTA FE,2132,-60.80840764,-32.92198021
BARCHI,SANTA FE 1483,ROSARIO,ROSARIO,SANTA FE,2000,-60.64309359,-32.94407686
MOROSINI,JUNIN 1996,ROSARIO,ROSARIO,SANTA FE,2000,-60.689832,-32.926914
DEL VALLE,ALEM 1376,AREQUITO,CASEROS,SANTA FE,2183,-61.468427,-33.144954
CERINO,AV. SAN MARTIN 1222,TOTORAS,IRIONDO,SANTA FE,2144,-61.167799,-32.585797
GHIONE,Tomas Craig 195,ROSARIO,ROSARIO,SANTA FE,2000,,
BONACCI,CASTRO BARROS 5202,ROSARIO,ROSARIO,SANTA FE,2000,-60.629579,-32.997092
FELCARO,CAFFERATA 835,ROSARIO,ROSARIO,SANTA FE,2000,-60.671207,-32.94089
VUKSICH,AZURMENDI 654,ACEBAL,ROSARIO,SANTA FE,2109,-60.833759,-33.241272
PRETONARI,SAN MARTIN 1911,CHABAS,CASEROS,SANTA FE,2173,-61.80582047,-32.73963834
SANCHEZ,CENTENARIO 505,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.388344,-32.815393
URQUIZA,SAN MARTIN 212,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.397806,-32.818441
HISPANO ARGENTINA,OCAMPO 698,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.391586,-32.819694
INCHAURZA,ALEM 1914,ROSARIO,ROSARIO,SANTA FE,2000,-60.631617,-32.961506
FARMACIA MUTUAL FEDERADA  25 DE JUNIO,MORENO 1143,ROSARIO,ROSARIO,SANTA FE,2000,-60.651702,-32.948525
GALFRE,BALCARCE 801,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.393754,-32.821912
GALENICA,ESPAÑA 2198,ROSARIO,ROSARIO,SANTA FE,2000,-60.650607,-32.961218
MUTUAL PERSONAL OBREROS SULFACID SA,DORREGO 50,FRAY LUIS BELTRAN,SAN LORENZO,SANTA FE,2156,-60.72707078,-32.78344369
LELLI,SALVAT 1562,ROSARIO,ROSARIO,SANTA FE,2000,-60.704359,-32.882506
CALVIN,JUNIN 1794,ROSARIO,ROSARIO,SANTA FE,2000,-60.687429,-32.926914
LUCARINI,MACIEL 881,ROSARIO,ROSARIO,SANTA FE,2000,-60.691999,-32.904254
ORLANDI,SAN MARTIN 3110,ROSARIO,ROSARIO,SANTA FE,2000,-60.643483,-32.973712
GHERGO,RIVADAVIA 569,TORTUGAS,BELGRANO,SANTA FE,2512,-61.80582047,-32.73963834
BRUNO,Bv CELMAN 844,TORTUGAS,BELGRANO,SANTA FE,2512,-61.80582047,-32.73963834
ZAMPATTI,RIVADAVIA 1019,SAN JOSE DE LA ESQUINA,CASEROS,SANTA FE,2185,-61.702495,-33.113183
CECARELLI,AV SAN MARTIN 1267,FRAY LUIS BELTRAN,SAN LORENZO,SANTA FE,2156,-60.72444749,-32.78937623
PUCCINI,Av FILIPPINI 1631,VILLA GOBERNADOR GALVEZ,ROSARIO,SANTA FE,2124,-60.636767,-33.020683
VILLAGGI,Bv OROÑO 1215,ROSARIO,ROSARIO,SANTA FE,2000,-60.654792,-32.948957
DE LA PLAZA,MITRE 1679,CHABAS,CASEROS,SANTA FE,2173,-61.356511,-33.245507
RIVADAVIA,RIVADAVIA 2125,CASILDA,CASEROS,SANTA FE,2170,-61.159948,-33.040633
ASTRAL,J. MANUEL DE ROSAS 1301,ROSARIO,ROSARIO,SANTA FE,2000,-60.63285828,-32.95372825
JUAN,JUNIN 5648,ROSARIO,ROSARIO,SANTA FE,2000,-60.70101,-32.927283
REINALDI,Av 18 Nº 756,LAS PETACAS,SAN MARTÍN,SANTA FE,2451,-62.107701,-31.820033
PLACENTI,SAN JUAN 3501,ROSARIO,ROSARIO,SANTA FE,2000,-60.672323,-32.944167
ARIAS,TUCUMAN 917,ALVAREZ,ROSARIO,SANTA FE,2107,-60.80663,-33.129214
LUMANI,SAN LUIS 2922,ROSARIO,ROSARIO,SANTA FE,2000,-60.663975,-32.944473
LAGRECA,3 DE FEBRERO 2698,ROSARIO,ROSARIO,SANTA FE,2000,-60.661594,-32.948795
PERDOMO,SAN LUIS 2566,ROSARIO,ROSARIO,SANTA FE,2000,-60.659083,-32.945355
